იტალიასთან	იტალი ასთან
რეიტინგის	რეიტინგ ის
სოპრანოს	სოპრან ოს
კონცხიდან	კონცხ იდან
მენტორი	მენტორ ი
პრინციპში	პრინციპ ში
გალერიუსი	გალერიუ სი
რეგრესის	რეგრეს ის
ყოფდა	ყოფ და
ტოტემიზმი	ტოტემ იზმი
ერთეულის	ერთეულ ის
ფინანსური	ფინანს ური
გაიანა	გაიან ა
გუნდში	გუნდ ში
ბაქსმა	ბაქს მა
სამშობლოდან	სამშობლო დან
რვაასხუთი	რვაასხუთ ი
ინჟინრებმა	ინჟინრ ებმა
დაეჭირათ	დაეჭირ ათ
მარადის	მარად ის
გადმოტანილი	გადმოტან ილი
ხორცით	ხორც ით
კინოფესტივალი	კინოფესტივალ ი
კლდიაშვილი	კლდ ი აშვილი
პუშტუ	პუშტ უ
მწარე	მწარ ე
სიმბოლიკაში	სიმბოლ იკაში
ქმნიდნენ	ქმნიდ ნენ
თერმოდინამიკის	თერმოდინამ იკის
დამარცხებას	დამარცხებ ას
შკოდერის	შკოდ ერის
სასიარულო	სასიარულ ო
დოზის	დოზ ის
სვეტებით	სვეტ ებით
სტივენ	სტივ ენ
იფარება	იფარებ ა
ქალაქი	ქალაქ ი
ჩარკვიანის	ჩარკვი ანის
გალაქტიკაა	გალაქტიკ ა ა
კენი	კენ ი
ნატეხები	ნატეხ ები
ნაოსნობა	ნაოსნ ობა
საყურადღებო	საყურად ღებო
კარგავენ	კარგავ ენ
ჰოლანდიელების	ჰოლანდიელ ების
მასალის	მასალ ის
სახელებში	სახელ ებში
მსოფლიოსთვის	მსოფლიო ს თვის
ელიზაბეტი	ელიზაბეტ ი
სერბეთში	სერბეთ ში
ვარსკვლავ	ვარსკვლა ვ
ციხესიმაგრედ	ციხესიმაგრ ედ
დასავლეთისაში	დასავლეთ ის აში
ანდერს	ანდერ ს
ეთნოგრაფები	ეთნოგრაფ ები
ირენე	ირენ ე
ნაგა	ნაგ ა
ეტრატზე	ეტრატ ზე
მაღალია	მაღალ ი ა
აღზევებული	აღზევ ებული
შერაცხეს	შერაცხ ეს
პენის	პენ ის
ჩნდებოდა	ჩნდ ებოდა
ბურგუნდიელი	ბურგუნდი ელი
საამები	საამ ები
სამწლიანი	სამ წლიანი
მჭიდროდ	მჭიდრ ოდ
კომიქსის	კომიქს ის
ვეზირთა	ვეზირ თა
ბაუტისტა	ბაუტისტ ა
ოპერიდან	ოპერ იდან
სურათია	სურათ ია
ხელებისა	ხელ ების ა
მწირი	მწირ ი
ვიქეიფოთ	ვიქეიფ ოთ
მნიშვნელოვნადაა	მნიშვნელ ოვნად აა
შემოყვანა	შემოყვან ა
ევროდენს	ევროდენ ს
მდებარე	მდებ არე
სწორმდგომი	სწორმდგომ ი
ჯდებოდა	ჯდ ებოდა
აორთქლების	აორთქლ ების
ერთპარტიული	ერთპარტ იული
ეტა	ეტ ა
მორისის	მორის ის
ქლიავი	ქლი ავი
აკეთებდნენ	აკეთ ებდნენ
წერითი	წერ ითი
გამდიდრებულ	გამდიდრ ებულ
აღმოჩნდება	აღმოჩნდ ება
რკონის	რკონ ის
ნახატის	ნახატ ის
შენობებს	შენობ ებს
ერგასტერი	ერგასტერ ი
მნახველი	მნახველ ი
წახნაგოვანი	წახნაგ ოვანი
მომხრეებად	მომხრე ებად
მთავარი	მთავარ ი
გაანადგურეს	გაანადგურ ეს
ჯაჭვური	ჯაჭვ ური
დაასწრო	დაასწრ ო
როლზე	როლ ზე
შემოსავალი	შემოსავალ ი
მიოცენის	მიოცენ ის
ჰიუგოს	ჰიუგ ოს
არქიტექტურას	არქიტექტურ ას
ნოველის	ნოველ ის
აუდიო	აუდი ო
ლეია	ლეი ა
ეპიდემია	ეპიდემ ია
დეიდა	დეიდ ა
რენიუმის	რენ იუმის
წამლების	წამლ ების
დაცილდნენ	დაცილ დნენ
უწყობენ	უწყობ ენ
გრეი	გრე ი
აგნოსტიციზმი	აგნოსტიც იზმი
სურათით	სურათ ით
ამერიკელმა	ამერიკელ მა
კულტურა	კულტურ ა
ლაპარაკობენ	ლაპარაკ ობენ
ორგანიზმად	ორგანიზმ ად
ჯოლის	ჯოლ ის
ვენური	ვენ ური
ზემასიური	ზემას იური
ქართულს	ქართულ ს
მოაგროვეს	მოაგროვ ეს
ოჯახებში	ოჯახ ებში
მოძღვრებას	მოძღვრ ებას
მისგანვე	მ ის განვე
გასასვლელად	გასასვლელ ად
დამარცხებამ	დამარცხებ ამ
უარყოს	უარყ ოს
გადაწყვეტილებებს	გადაწყვეტილე ბ ებს
ფარერული	ფარერ ული
ექვსივე	ექვს ივე
განადგურდნენ	განადგურ დნენ
შევსებას	შევსებ ას
დაყენებული	დაყენებ ული
მწარმოებელმა	მწარმოებ ელმა
გვამს	გვამ ს
კაჟის	კაჟ ის
ანტონს	ანტონ ს
ათვისების	ათვის ების
თუკი	თუკ ი
აზერბაიჯანელი	აზერბაიჯან ელი
ლავგარდნის	ლავგარდ ნის
ღირებულებამ	ღირებულებ ამ
მყინვარების	მყინვარ ების
შემქმნელ	შემქმ ნელ
ვაჟისთვის	ვაჟ ისთვის
რეალობაში	რეალ ობაში
ხელმისაწვდომობის	ხელმისაწვდო მ ობის
ნიუტონის	ნიუტონ ის
ბრმა	ბრ მა
მოკვეთა	მოკვეთ ა
შიგნითა	შიგნ ით ა
შეუერთდებოდა	შეუერთდ ებოდა
ბრუნვაში	ბრუნვ აში
შამანების	შამან ების
მინსკში	მინსკ ში
მოღვაწედ	მოღვაწე დ
როდიუმის	როდ იუმის
ედის	ედ ის
სლოვენური	სლოვენ ური
წარწერებია	წარწერ ები ა
ელემენტები	ელემენტ ები
ჰოლში	ჰოლ ში
ბიუჯეტმა	ბიუჯეტ მა
წინასწარმეტყველი	წინასწარმეტყ ველი
ფილმმა	ფილმ მა
შემოკლებით	შემოკლ ებით
დაჯგუფებამ	დაჯგუფებ ამ
შენიშნავს	შენიშნ ავს
ბუნებითი	ბუნებ ითი
იხილოს	იხილ ოს
აკრიტიკებენ	აკრიტიკ ებენ
ჯერა	ჯერ ა
ოდენობით	ოდენობ ით
ალბომი	ალბომ ი
ერისთავმა	ერისთავ მა
ნამუშევრებისგან	ნამუშევრებ ისგან
მცველი	მცველ ი
აბორიგენი	აბორიგენ ი
ავლებს	ავ ლებს
შეენარჩუნებინა	შეენარჩუ ნები ნა
მროველი	მროველ ი
ძეგლის	ძეგლ ის
აკვირდებიან	აკვირდებ იან
ტურნედან	ტურნე დან
ერთმაგი	ერთმაგ ი
ჰასანი	ჰასან ი
მიწათმოქმედი	მიწათმოქმედ ი
ოსტატია	ოსტატ ია
კანდიდატებს	კანდიდატ ებს
სამშობლოდ	სამშობლო დ
გურგენის	გურგენ ის
მოწითალო	მოწით ა ლო
მედლების	მედლ ების
ნანგრევებით	ნანგრევ ებით
დაღწევას	დაღწევ ას
ფინიკიურ	ფინიკ იურ
ვეტოს	ვეტ ოს
აუწყა	აუწყ ა
გაშვებულ	გაშვებ ულ
ეფუძნება	ეფუძნ ება
ვინმე	ვინმ ე
წყალმომარაგების	წყალმომარაგ ების
მამასა	მამ ასა
აღიჭურვა	აღიჭურვ ა
მგლებს	მგლ ებს
გამოიყენებოდა	გამოიყენ ებოდა
მოწყობილობას	მოწყობილობ ას
ცერემონიალის	ცერემონიალ ის
წყალმცირობა	წყალმცირ ობა
ჯიში	ჯიშ ი
განწმენდის	განწმენდ ის
დღესასწაულის	დღესასწაულ ის
ერისთავებმა	ერისთავ ებმა
სპირტიანი	სპირტ იანი
იმედებით	იმედ ებით
ორატორული	ორატორ ული
გალისია	გალისი ა
წარმოებისათვის	წარმოებ ის ათვის
არიას	არი ას
მუხრანბატონმა	მუხრანბატონ მა
კუნძულისგან	კუნძულ ისგან
სიმღერებთან	სიმღერ ებთან
უგანდაში	უგანდ აში
წაგრძელებული	წაგრძელ ებული
განმეორებადი	განმეორ ებად ი
ნეოტექტონიკური	ნეოტექტონ იკური
ფიქლებით	ფიქლ ებით
მომიტინგე	მომიტინგ ე
ახმედი	ახმ ედი
დრამერი	დრამერ ი
რიცხვების	რიცხვ ების
შეგუება	შეგუებ ა
ლოგოტიპი	ლოგოტიპ ი
სესხი	სესხ ი
ეპისტოლეში	ეპისტოლ ეში
ცირკულაციის	ცირკულაც იის
ხორციელ	ხორც იელ
ეთნოლოგიის	ეთნოლოგი ის
დაეუფლოს	დაეუფლ ოს
პროვინციისაგან	პროვინც იის აგან
ლიპარიტს	ლიპარიტ ს
მაყურებელმა	მაყურებელ მა
შემქნელი	შემქნ ელი
ბლოკირება	ბლოკირებ ა
ერთობლივად	ერთობლივ ად
თეორიული	თეორი ული
ჩამონათვალი	ჩამონათვალ ი
გერმანიიდან	გერმანი იდან
ბოულის	ბოულ ის
წევრობაზე	წევრ ობა ზე
მიწისქვეშ	მიწის ქვეშ
გაყვანას	გაყვან ას
ბოსნია	ბოსნი ა
ბუჩქნარებს	ბუჩქნარ ებს
სატანის	სატან ის
გამომყავს	გამომყ ავს
წევრით	წევრ ით
პატარაობიდანვე	პატარაობ იდანვე
კოსმონავტი	კოსმ ონავტი
ხეობას	ხეობ ას
ამოყვანილია	ამოყვან ილი ა
გრეისთან	გრეის თან
აკადემიური	აკადემი ური
თანდართული	თანდართულ ი
მკურნალობას	მკურნალობ ას
ჟორდანიას	ჟორდან იას
ვარსკვლავთა	ვარსკვლავ თა
მთელი	მთ ელი
ერთგულებას	ერთგულ ებას
ასტრალურ	ასტრ ალურ
ჩრდილოეთში	ჩრდილოეთ ში
დისკიანი	დისკ იანი
ცხრავე	ცხრა ვე
აქციას	აქცი ას
საპრეზიდენტო	საპრეზიდენ ტო
წარწერების	წარწერ ების
ეღირსა	ეღირს ა
უცხოეთთან	უცხოეთ თან
ეთნიკურ	ეთნიკ ურ
დიოგენე	დიოგენ ე
კორპორაციული	კორპორაცი ული
აიძულებდა	აიძულ ებდა
ჩვეულებრივი	ჩვეულებ რივი
მომღერალზე	მომღერალ ზე
ჰერაკლემ	ჰერაკლ ემ
სწავლობდნენ	სწავლობ დნენ
ენრიკეს	ენრიკ ეს
ბერძნებსა	ბერძნ ებს ა
პაკისტანს	პაკისტა ნს
ველოსიპედით	ველოსიპედი თ
მეცნიერებად	მეცნიერებ ად
ანჯელო	ანჯელ ო
გაწყვეტის	გაწყვეტ ის
გაკეთებული	გაკეთ ებული
ექსპორტზე	ექსპორტ ზე
ბაბუასთან	ბაბუ ასთან
ვინაობა	ვინა ობა
კანზე	კან ზე
თვითმფრინავებს	თვითმფრინავ ებს
რებეკა	რებეკ ა
საკითხზე	საკითხ ზე
კურნება	კურნ ება
მძევლების	მძევლ ების
კონტექსტის	კონტექსტ ის
შეწუხებულმა	შეწუხ ებულმა
იზოტოპის	იზოტოპ ის
გასავლელი	გასავლელ ი
სოლო	სოლ ო
ასლს	ასლ ს
ლიტვურ	ლიტვ ურ
მტკიცება	მტკიცებ ა
ავიაბაზა	ავიაბაზ ა
აღებს	აღ ებს
მოიხმარენ	მოიხმარ ენ
უერთდებოდა	უერთდ ებოდა
ანუ	ან უ
კარპინსკის	კარპინსკ ის
ძირითადში	ძირით ად ში
სიმონა	სიმონ ა
კულტივირებულია	კულტივირ ებული ა
ჩაეყენებინა	ჩაეყენებ ინა
დაჯდა	დაჯ და
შენარჩუნებას	შენარჩუნებ ას
აპარტეიდის	აპარტეიდ ის
თანამედროვენი	თანამედროვე ნი
ჯეინი	ჯე ინი
მსგავს	მსგავ ს
განძს	განძ ს
დალექილი	დალექ ილი
მმართველი	მმართველ ი
თურქ	თურ ქ
მიჰყავდათ	მიჰყავ დათ
ქმედების	ქმედებ ის
რეიტინგით	რეიტინგ ით
ყულოშვილი	ყ ულო შვილი
გუგა	გუგ ა
მსოფლმხედველობა	მსოფლ მხედველ ობა
საავადმყოფოში	საავადმყოფო ში
მეთევზეობა	მეთევზე ობა
მიწვეული	მიწვე ული
მაკდონალდის	მაკდონალ დის
მონეტარული	მონეტ ა რული
დღიურის	დღიურ ის
ბაქო	ბაქ ო
პასაუს	პას ა უს
სადგურთან	სადგურ თან
დვალინი	დვალ ინი
გადამსვლელი	გადამსვლ ელი
ქინქლაძემ	ქინქლაძ ემ
გვერდები	გვერდ ები
დიკის	დიკ ის
ქანდაკება	ქანდაკებ ა
კარიბჭეში	კარიბჭე ში
წინამორბედს	წინამორბედ ს
ტეხასის	ტეხას ის
ბალანჩივაძის	ბალანჩივ აძის
მზარეული	მზ არე ული
მომსახურებების	მომსახურებ ების
მოთამაშემ	მოთამაშე მ
გორი	გორ ი
ბრუკლინში	ბრუკლინ ში
თავისუფლებისათვის	თავისუფლებ ის ათვის
მიმართვაში	მიმართვ აში
ყინვები	ყინვ ები
ჰიპოკრატეს	ჰიპოკრატ ეს
აბაზანაში	აბაზან აში
ლანცეტა	ლანც ეტა
სუვერენიტეტს	სუვერენიტეტ ს
ჩასაწერად	ჩასაწერ ად
სუსტდებოდა	სუსტ დ ებოდა
წარმოქმნა	წარმოქმნ ა
დავალება	დავალებ ა
გაუბედურებული	გაუბედურ ებული
საურონი	საურონ ი
ულტიმატუმი	ულტიმატუმ ი
ბეტმენი	ბეტმენ ი
მითითებით	მითითებ ით
ყაზანის	ყაზან ის
ულუს	ულ უს
ჰარალდ	ჰარ ალდ
სააბატო	სააბატ ო
სურთ	სურ თ
გამოავლინეს	გამოავლინ ეს
იქონიოს	იქონი ოს
ახალშობილი	ახალშობი ლი
ბავშვებზე	ბავშვებ ზე
აღნიშვნისთვის	აღნიშვნ ისთვის
საღვთო	საღვთ ო
გამოძახების	გამოძახ ების
ბემბი	ბემბ ი
არსად	არს ად
დანაკარგი	დანაკარგ ი
აუხსნეს	აუხსნ ეს
ღამეში	ღამე ში
ნახავდი	ნახ ავდი
ჰორმონები	ჰორმონ ები
ფრენა	ფრენ ა
ფლოტში	ფლოტ ში
რეფლექტორის	რეფლექტორ ის
თანმიმდევრულად	თანმიმდევრ ულად
სომხურიდან	სომხურ იდან
ადელის	ადელ ის
ერთწლოვანი	ერთწლ ოვანი
ოდნავ	ოდნ ავ
კითხვა	კითხვ ა
სერბულ	სერბ ულ
ავტობიოგრაფია	ავტობიოგრაფ ია
ენერგიით	ენერგი ით
დათხოვნის	დათხოვნ ის
სამთავროებად	სამთავრო ებად
სუხიშვილი	სუხ იშვილი
გამგებლობის	გამგებლ ობის
მდელოებია	მდელო ები ა
კონტინენტალური	კონტინენტ ალური
მოაწერა	მოაწერ ა
თალიბანის	თალიბ ანის
გარეგნულ	გარეგნ ულ
დასრულებისას	დასრულებ ისას
მოუწოდებდა	მოუწოდ ებდა
პომპეუს	პომპე უს
სპეციალურმა	სპეციალ ურმა
დაიცვეს	დაიცვ ეს
კბენს	კბენ ს
აღკვეთილის	აღკვეთ ი ლის
ბიოგრაფები	ბიოგრაფ ები
ცხოვრებაა	ცხოვრებ ა ა
ღონიერი	ღონ იერი
დანაწევრებულ	დანაწევრ ებულ
სასკაჩევანის	სასკ ა ჩევანის
იტანჯება	იტანჯ ება
რელიეფის	რელიეფ ის
გუანტანამოს	გუანტანამო ს
მმართველობამ	მმართველ ობამ
შეიქმნა	შეიქმნ ა
ალენის	ალენ ის
შტაბები	შტაბ ები
ტატიანა	ტატიან ა
ბაბუა	ბაბუ ა
ციხედ	ციხე დ
კახეთის	კახეთ ის
აფეთქებისას	აფეთქებ ისას
დაამთავრა	დაამთავრ ა
ხეებსა	ხე ებს ა
სამეთაურო	სამეთაურ ო
ენოქი	ენოქ ი
სამართლიანობისა	სამართლიან ობის ა
ირწმუნება	ირწმუნ ება
დუაიტ	დუაი ტ
ხელმძღვ	ხელმძღ ვ
პრუსიული	პრუსი ული
გიგამ	გიგ ამ
გიულენის	გიულ ენის
ფუნქციებსაც	ფუნქცი ებს აც
გადანაწილების	გადანაწილ ების
გახსნეს	გახსნ ეს
მეგრული	მეგრულ ი
დიზაინერია	დიზაინერ ია
მიხედვით	მიხედვ ით
ნაკვეთ	ნაკვ ეთ
გაიხსენოს	გაიხსენ ოს
კობიაშვილი	კობიაშვილ ი
ფრიქსეს	ფრიქს ეს
საგადახდო	საგადახდ ო
იანებში	იან ებში
არტეფაქტების	არტეფაქტ ების
ბრუნი	ბრუნ ი
გამოსაშვებ	გამოსაშვ ებ
აიეტს	აიეტ ს
არასანდო	არასან დო
დაშორდა	დაშორ და
ვანდას	ვანდ ას
გამოც	გამო ც
არავინ	არავ ინ
შეტაკებებში	შეტაკებ ებში
დამანგრეველი	დამანგრეველ ი
კვეთა	კვეთ ა
ოთხი	ოთხ ი
საშინლად	საშინ ლად
შედგენა	შედგენ ა
დროშასთან	დროშ ასთან
მწკრივს	მწკრივ ს
სახეცვლილება	სახეცვლილ ება
ჭავჭავაძემ	ჭავჭავაძ ემ
მიკის	მიკ ის
სიმებიან	სიმ ებიან
ჩანგის	ჩანგ ის
სარატოვის	სარატოვ ის
ალტერნატივის	ალტერნატივ ის
დაბრუნებისას	დაბრუნებ ისას
თქმულებები	თქმულებ ები
სიით	სი ით
საქმეებს	საქმე ებს
შუმერულ	შუმერ ულ
არსებად	არსებ ად
გრძნობენ	გრძნობ ენ
რომაელი	რომაელ ი
ჩარტში	ჩარტ ში
შეხვედრიდან	შეხვედრ იდან
ყველაფრის	ყველაფრ ის
შიშის	შიშ ის
სასამართლოზე	სასამართლო ზე
პროცენტით	პროცენტ ით
გაჭირვებით	გაჭირვებ ით
დაიხრჩო	დაიხრჩ ო
ეხმარება	ეხმარებ ა
რეჟისორების	რეჟისორ ების
ძვლებზე	ძვლ ებზე
განაპირობებდა	განაპირობ ებდა
ფლორის	ფლორ ის
ძემ	ძ ემ
სამხრეთიდანაა	სამხრეთ იდან აა
უსახლკარო	უსახლკარ ო
სახელ	სა ხელ
უთქვამს	უთქვ ამს
ბალზაკმა	ბალზაკ მა
ტერორისტების	ტერორისტ ების
ვაგონის	ვაგონ ის
კატორღა	კატორღ ა
ქალებს	ქალ ებს
ანასტასიოს	ანასტასი ოს
სიახლოვის	სიახლოვ ის
მონასტრული	მონასტრ ული
ფურცელაძე	ფურცელ აძე
მოსწონდათ	მოსწონ დათ
ღირსშესანიშნავი	ღირსშესანიშნა ვი
მოიცვას	მოიცვ ას
დაუპირისპირა	დაუპირისპირ ა
ლაგუნები	ლაგუნ ები
დროგბა	დროგბ ა
კორპის	კორპ ის
ოფიცრად	ოფიცრ ად
აბანოების	აბანო ების
გერი	გერ ი
გაეცნენ	გაეცნ ენ
განკარგულებით	განკარგულებ ით
გაუსვეს	გაუსვ ეს
დარგებია	დარგ ებია
ლიონი	ლიონ ი
ახლანდ	ახლ ანდ
იდგნენ	იდგ ნენ
მარტივი	მარტივ ი
რეჟისორმა	რეჟისორ მა
აღავლინა	აღავლინ ა
ორლეანის	ორლეან ის
რაიონულ	რაიონ ულ
აქციეს	აქცი ეს
ოლქებში	ოლქ ებში
ფილმებში	ფილმ ებში
არმიები	არმი ები
შეცვლილ	შეცვლ ილ
მაკედონიამ	მაკედონი ამ
ქვეყნებიც	ქვეყნ ებიც
იაფი	იაფ ი
პისტონსი	პისტონს ი
ხელშემწყობი	ხელშემწყობ ი
ბინძური	ბინძურ ი
მკვლევარები	მკვლევარ ები
შერწყმა	შერწყმ ა
შიიტების	შიიტ ების
ალონსო	ალონს ო
ენერგია	ენერგი ა
კავშირმა	კავშირ მა
აღმოჩენამ	აღმოჩენ ამ
სიახლოვით	სიახლოვ ით
რატი	რატ ი
ვაჟიშვილის	ვაჟიშვილ ის
მეტაბოლიზმის	მეტაბოლ იზმის
მომზადება	მომზადებ ა
საგარეუბნო	საგარეუბნ ო
ყომრალი	ყომრ ალი
ბაქსი	ბაქს ი
სათავეები	სათავე ები
ვოლგის	ვოლგ ის
ფლეტჩერმა	ფლეტჩერ მა
აიძულეს	აიძულ ეს
მიშენებული	მიშენებ ული
მონათა	მონ ათა
იქნან	იქნ ან
რევოლუციამდე	რევოლუცი ამდე
ვერსიაა	ვერსი ა ა
მკმ	მკ მ
ფეხსაცმელების	ფეხსაცმე ლების
მიაღწევენ	მიაღწევ ენ
მიმოწერას	მიმოწერ ას
უთამაშია	უთამაშ ია
თავგამოდებით	თავგამოდ ებით
სულეიმანს	სულეიმან ს
ტერმინალი	ტერმინ ალი
იუნკერთა	იუნკერ თა
პრინციპი	პრინციპ ი
უთანხმოება	უთანხმოებ ა
ინფექციების	ინფექცი ების
ხედავ	ხედ ავ
უშაქრო	უშაქრ ო
შეხედულება	შეხედულებ ა
მეოთხედფინალში	მეოთხედფინალ ში
კართაგენელთა	კართაგენ ელთა
ეკლესიად	ეკლესი ად
ედვარდმა	ედვარდ მა
თაობიდან	თაობ იდან
ამაო	ამა ო
ტევადობა	ტევად ობა
ლაო	ლა ო
აშენებულია	აშენებ ულია
რუხ	რუ ხ
მაგალითი	მაგალით ი
ზოლს	ზოლ ს
ეფრემმა	ეფრემ მა
მიღებისას	მიღებ ისას
ფოტოსინთეზის	ფოტოსინთეზ ის
ჯენის	ჯ ენის
გადარჩენისთვის	გადარჩენ ისთვის
გარეგნულად	გარეგნ ულად
ნაპოლეონთან	ნაპოლეონ თან
გაუმხილა	გაუმხ ილა
რინგოს	რინგ ოს
როლებს	როლ ებს
სასიამოვნოა	სასიამოვნ ოა
ბალტიისპირეთში	ბალტი ის პირეთში
ნივთიერებისაგან	ნივთიერებ ის აგან
ქალიშვილობაში	ქალიშვილ ობაში
ბრაზილიელთა	ბრაზილი ელთა
მობი	მობ ი
ხოჭოს	ხოჭო ს
ვერსიასთან	ვერსი ასთან
ორგანოებია	ორგანო ებია
სპარსეთს	სპარსეთ ს
ბუტლეგურ	ბუტლეგ ურ
ეშვებოდა	ეშვ ებოდა
წვერში	წვერ ში
პუნქტია	პუნქტ ია
დავწერეთ	დავწერ ეთ
საფეხმავლო	საფეხმავ ლო
გვქონდეს	გვქონ დეს
დასჭირდებოდა	დასჭირდ ებოდა
განუწყვეტლივ	განუწყვეტ ლივ
აღმოცენებული	აღმოცენ ებული
სითბოს	სითბ ოს
ტოტალურ	ტოტ ალურ
მწიფდება	მწიფ დება
სიამის	სიამ ის
ეპოქამდე	ეპოქ ამდე
ციკლონის	ციკლონ ის
სიტყვაც	სიტყვ აც
აქვსო	აქვ სო
იმთავითვე	იმთავ ით ვე
მონელება	მონელებ ა
სახელისგან	სახელ ისგან
დედოფალს	დედოფალ ს
ერთსა	ერთ ს ა
მონაწილეებს	მონაწილე ებს
უარესდება	უარესდებ ა
სექსს	სექს ს
ქუჩაზე	ქუჩ აზე
დააყოვნა	დააყოვნ ა
როდესაც	როდ ეს აც
სტამბოლს	სტამბოლ ს
პლაცდარმის	პლაცდარმ ის
კრუიფის	კრუიფ ის
მფლობელი	მფლობელ ი
დაარსებისთანავე	დაარსებ ი სთანავე
მეზობლის	მეზობლ ის
იონიზირებული	იონ ი ზირებული
პაპუნა	პაპ უნა
შეისწავლიდნენ	შეისწავლ ი დნენ
შირაკის	შირაკ ის
ფუნქციებით	ფუნქცი ებით
ბინას	ბინ ას
გამოაძევეს	გამოაძევ ეს
გადაჯაჭვული	გადაჯაჭვ ული
არმავირი	არმავირ ი
ერქომაიშვილი	ერქომა იშვილი
გზავნის	გზავნი ს
ვიქტორ	ვიქ ტორ
არტაანის	არტაან ის
ძრავა	ძრავ ა
კანტონს	კანტონ ს
ჩინეთს	ჩინეთ ს
პროფილაქტიკა	პროფილაქტი კ ა
ნაამბობი	ნაამბობ ი
სკალი	სკალ ი
ზემფირა	ზემფირ ა
ალგებრაში	ალგებრ აში
ქმნილებები	ქმნილებ ები
აზერბაიჯანს	აზერბაიჯან ს
ბოქვენის	ბოქვე ნის
ქვებისგან	ქვ ების გან
ვერსიად	ვერსი ად
თინეიჯერი	თინეიჯერ ი
ცვლადის	ცვლად ის
თანამოაზრეები	თანამოაზრე ები
ნაწლავების	ნაწლავ ების
სითთა	სით თა
ტრაგედიას	ტრაგედი ას
ისეთია	ისეთ ია
აღვნიშნეთ	აღვნიშნ ეთ
გამანადგურებელ	გამანადგურებ ელ
პიგმეები	პიგმ ეები
ხახუნით	ხახუნ ით
მასტიფი	მასტიფ ი
გვირაბები	გვირაბ ები
ზაქარი	ზაქარ ი
მედიჩის	მედიჩ ის
შპს	შპ ს
ბორობუდური	ბორობუდ ური
დაღესტნელთა	დაღესტ ნელ თა
სოფრონი	სოფრონ ი
ცალკეულმა	ცალკე ულმა
ანტიოქე	ანტიოქ ე
თავმჯდომარეობდა	თავმჯდომა რეობდა
კუბურ	კუბ ურ
საქმეებზე	საქმე ებზე
უარყოფითად	უარყოფ ით ად
ტოკუგავას	ტოკუგავ ას
გამოვლინების	გამოვლინებ ის
საბერძნეთიდან	საბერძნეთ იდან
საფრანგეთისა	საფრანგეთ ისა
პოპულარულმა	პოპულარ ულმა
ამოცანად	ამოცან ად
ვაშინგტონი	ვაშინგტო ნი
მალტაში	მალტ აში
ნასესხები	ნასესხ ები
გერმანელების	გერმანელებ ის
მრავალთესლიანი	მრავალთესლ იანი
აღებით	აღებ ით
მუხლზე	მუხლ ზე
თვალსაზრისითაც	თვალსაზრის ით აც
სარჩოს	სარჩ ოს
ცერემონიებს	ცერემონი ებს
ციხეზე	ციხე ზე
ქვეითების	ქვეით ების
კატარაქტის	კატარაქტ ის
მცენარეებს	მცენარე ებს
უნარიც	უნარ იც
პლუს	პლუ ს
ემხას	ემხ ას
მისანიჭებლად	მისანიჭ ებლად
კარატეს	კარატ ეს
სივრცეა	სივრცე ა
ცრემლებით	ცრემლ ებით
კლინტ	კლინ ტ
სპორტული	სპორტ ული
რათა	რა თა
გამოცემას	გამოცემ ას
შენახულია	შენახ ულია
ონლაინ	ონლაი ნ
შუშა	შუშ ა
ამოიღო	ამოიღ ო
გვერდში	გვერდ ში
პოპ	პო პ
გიგი	გიგ ი
წინამძღოლობით	წინამძღოლ ობით
შეირთავს	შეირთ ავს
ჩაკეტილ	ჩაკეტ ილ
დაუზუსტებელი	დაუზუსტ ებელი
ინგლისისა	ინგლის ისა
ვარშავის	ვარშავ ის
დევნილები	დევნილ ები
რომაში	რომ აში
გაერთიანებებს	გაერთიანებ ებს
შვილებმა	შვილ ებმა
ვარაუდობენ	ვარაუდობ ენ
მრავალშვილიან	მრავალშვილ იან
ნავთობქიმიური	ნავთობქიმი ური
სამართალის	სამართალ ის
ჰიბრიდი	ჰიბრიდ ი
დამაგრებულია	დამაგრ ებული ა
სუფევდა	სუფევ და
გადმოეცა	გადმო ეც ა
პროგრამიდან	პროგრამ იდან
შესულმა	შესულ მა
ნიჭმა	ნიჭ მა
კლერმონის	კლერმონ ის
პროდუქციას	პროდუქცი ას
ტოლმკლავა	ტოლმკლავ ა
კატასტროფის	კატასტროფ ის
ნეშტი	ნეშტ ი
ქვეითთა	ქვეით თა
ავრცელებდნენ	ავრცელ ებდნენ
ლათინურად	ლათინურ ად
საგუბერნიო	საგუბერნ იო
ჩვენთან	ჩვენ თან
ისლანდია	ისლანდი ა
ჩქარობდა	ჩქარ ობდა
აღწერაში	აღწერ აში
ღრუ	ღრ უ
ვლადიმირ	ვლადი მირ
ერთეულზე	ერთეულ ზე
მალები	მალ ები
შეარჩია	შეარჩი ა
ქონდეს	ქონ დეს
გამოეთიშნენ	გამოეთიშ ნენ
მდგომარეობას	მდგომარეობა ს
მეტია	მეტ ია
მატლების	მატლ ების
ოპერაციაში	ოპერაცი აში
გამოკვლევა	გამოკვლევ ა
მკერდში	მკერდ ში
რეაქტორის	რეაქტორ ის
ამილახვრის	ამილახვრ ის
ვიზიტის	ვიზიტ ის
სილეზიის	სილეზი ის
ბუჩი	ბუჩ ი
ისტორიკოსები	ისტორიკოს ები
შეიკავა	შეიკავ ა
მიხაელ	მიხა ელ
